core	age_calkaBP	d18Obenth	d18Ow	sealevel
1337 Kochhann	20011.00	1.51	-0.11	6.99
1337 Kochhann	20015.00	1.75	0.12	-7.68
1337 Kochhann	20018.00	1.53	-0.10	5.93
1337 Kochhann	20022.00	1.41	-0.22	13.78
1337 Kochhann	20025.00	1.48	-0.16	9.55
1337 Kochhann	20029.00	1.36	-0.27	16.91
1337 Kochhann	20032.00	1.16	-0.47	29.11
1218 Palike	20175.00	1.99	0.24	-14.61
1218 Palike	20273.00	1.45	-0.32	19.61
1218 Palike	20357.00	1.67	-0.09	5.84
1218 Palike	20362.00	1.62	-0.14	8.87
1218 Palike	20436.00	1.57	-0.18	10.86
1218 Palike	20439.00	1.91	0.16	-10.12
1218 Palike	20508.00	2.38	0.66	-40.63
1218 Palike	20570.00	2.33	0.64	-39.39
1218 Palike	20636.00	2.36	0.70	-43.06
1218 Palike	20708.00	1.76	0.13	-7.93
1218 Palike	20797.00	1.94	0.33	-20.50
1218 Palike	20864.00	1.43	-0.17	10.34
1218 Palike	20909.00	2.48	0.89	-54.56
1218 Palike	20925.00	1.98	0.39	-23.79
1218 Palike	20970.00	1.95	0.36	-21.94
1218 Palike	20986.00	1.87	0.28	-17.02
1218 Palike	21031.00	1.87	0.27	-16.70
1218 Palike	21089.00	1.71	0.10	-6.25
1218 Palike	21096.00	1.72	0.11	-6.80
1218 Palike	21173.00	1.84	0.22	-13.48
1218 Palike	21216.00	1.59	-0.03	2.13
1218 Palike	21260.00	1.89	0.27	-16.39
1218 Palike	21304.00	2.03	0.41	-25.11
1218 Palike	21348.00	1.59	-0.02	1.40
1218 Palike	21392.00	1.94	0.34	-20.71
1218 Palike	21438.00	1.77	0.18	-11.33
1218 Palike	21554.00	1.02	-0.52	31.75
1218 Palike	21557.00	1.26	-0.27	16.90
1218 Palike	21563.00	1.17	-0.36	22.28
1218 Palike	21567.00	1.45	-0.08	4.94
1218 Palike	21572.00	1.36	-0.17	10.34
1218 Palike	21576.00	1.26	-0.27	16.39
1218 Palike	21581.00	1.25	-0.27	16.87
1218 Palike	21585.00	1.29	-0.23	14.30
