"","collection_no","source_database","collection.authorizer","family_name","family_extant","genus_extant","species_extant","occurrence.genus_reso","occurrence.genus_name","occurrence.species_reso","occurrence.species_name","original.genus_reso","original.genus_name","original.species_reso","original.species_name","country","state","period","epoch","stage","ma_max","ma_min","formation"
"129",13741,"Fossilworks","J. Alroy","Thylacosmilidae","no","","no","","Anachlysictis","","gracilis","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"130",13741,"Fossilworks","J. Alroy","Dasyproctidae","yes","no","","","Microscleromys","","NA","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"131",13743,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","no","","Neoglyptatelus","","originalis","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"132",13747,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","no","","Neoglyptatelus","","originalis","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"133",13749,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","no","","Neoglyptatelus","","originalis","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"134",13749,"Fossilworks","J. Alroy","Microbiotheriidae","","","no","","Pachybiotherium","","minor","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"135",13749,"Fossilworks","J. Alroy","Didelphidae","yes","yes","no","","Thylamys","","minutus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"136",13749,"Fossilworks","J. Alroy","Didelphidae","yes","yes","no","","Thylamys","","colombianus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"137",13749,"Fossilworks","J. Alroy","Didelphidae","yes","yes","no","","Micoureus","","laventicus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"138",13749,"Fossilworks","J. Alroy","Hondadelphidae","","","no","","Hondadelphys","","fieldsi","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
